codigo,nome
045,Guarulhos
130,Mogi das Cruzes
150,Biritiba Mirim
155,Suzano
160,Poá
165,Itaquaquecetuba
170,Ferraz de Vasconcelos
175,São José dos Campos
185,São Sebastião
190,Monteiro Lobato
195,Caraguatatuba
260,Caçapava
265,Jambeiro
270,Pindamonhangaba
275,Salesópolis
280,Santa Branca
285,Jacareí
290,Guararema
295,Taubaté
300,Tremembé
305,Lorena
306,Canas
310,Guaratinguetá
312,Potim
315,Aparecida
320,Roseira
325,Cachoeira Paulista
330,Cruzeiro
